guide_pair_id,guide_a,gene_a,class_a,guide_b,gene_b,class_b,scaffold,notes,vector_class,FC_500x
DG0000001,903907510,ARID1A,unclassified,1017672369,ARID1B,unclassified,Wildtype,GIpairs,unclassified + unclassified,0.87903820083678
DG0000002,903907510,ARID1A,unclassified,1017672447,ARID1B,unclassified,Wildtype,GIpairs,unclassified + unclassified,0.6787929342460854
DG0000003,903907510,ARID1A,unclassified,1017672326,ARID1B,unclassified,Wildtype,GIpairs,unclassified + unclassified,0.6244585432958888
DG0000004,903907510,ARID1A,unclassified,1017712232,ARID1B,unclassified,Wildtype,GIpairs,unclassified + unclassified,0.8649659325552176
DG0000005,903911503,ARID1A,unclassified,1017672369,ARID1B,unclassified,Wildtype,GIpairs,unclassified + unclassified,0.8092008138958707
DG0000006,903911503,ARID1A,unclassified,1017672447,ARID1B,unclassified,Wildtype,GIpairs,unclassified + unclassified,0.7926416920595224
DG0000007,903911503,ARID1A,unclassified,1017672326,ARID1B,unclassified,Wildtype,GIpairs,unclassified + unclassified,1.217081118943229
DG0000008,903911503,ARID1A,unclassified,1017712232,ARID1B,unclassified,Wildtype,GIpairs,unclassified + unclassified,0.8749665643479925
DG0000009,903907422,ARID1A,unclassified,1017672369,ARID1B,unclassified,Wildtype,GIpairs,unclassified + unclassified,0.9764481681761153
DG0000010,903907422,ARID1A,unclassified,1017672447,ARID1B,unclassified,Wildtype,GIpairs,unclassified + unclassified,0.8764672561046964
DG0000011,903907422,ARID1A,unclassified,1017672326,ARID1B,unclassified,Wildtype,GIpairs,unclassified + unclassified,0.7954263289248645
DG0000012,903907422,ARID1A,unclassified,1017712232,ARID1B,unclassified,Wildtype,GIpairs,unclassified + unclassified,0.5544467939762661
DG0000013,903911478,ARID1A,unclassified,1017672369,ARID1B,unclassified,Wildtype,GIpairs,unclassified + unclassified,1.083315969355953
DG0000014,903911478,ARID1A,unclassified,1017672447,ARID1B,unclassified,Wildtype,GIpairs,unclassified + unclassified,1.103167302362146
DG0000015,903911478,ARID1A,unclassified,1017672326,ARID1B,unclassified,Wildtype,GIpairs,unclassified + unclassified,0.7624006315748142
DG0000016,903911478,ARID1A,unclassified,1017712232,ARID1B,unclassified,Wildtype,GIpairs,unclassified + unclassified,1.055172543312743
DG0000017,903907510,ARID1A,unclassified,1167699490,KLK12,non-essential,Wildtype,GIpairs,unclassified + non-essential,0.9348879776378922
