gene,n_guides
,356
RBM14,11
YY1,11
VCP,9
RPL13,8
SON,8
EIF3A,8
SRCAP,8
POLR2F,8
WDR33,8
PAFAH1B1,8
RPA1,8
PSMD2,8
COX10,8
GTF3C4,8
SF3B3,7
PLAGL2,7
TCERG1,5
MARCHF5,4
CSK,4
DNMT1,4
MYC,4
DNAJC19,4
DNAJC15,4
PTPN11,4
TAZ,4
STAG1,4
MAPK1,4
MDM2,4
CTNNB1,4
DEFB123,4
STAG2,4
MCL1,4
SRC,4
STK11,4
STX4,4
MAP2K1,4
MAP2K2,4
DNMT3B,4
EGFR,4
RAF1,4
KAT6B,4
HDAC2,4
HDAC1,4
IGF1R,4
GRB2,4
GKN2,4
INTS6,4
INTS6L,4
ISL1,4
JAK1,4
KAT6A,4
KDM3A,4
DZIP1L,4
KDM3B,4
FAM50B,4
FAM50A,4
ERBB2,4
KRAS,4
SMAD4,4
SMARCA2,4
SMARCA4,4
CNPY2,4
EFCAB3,4
MYCN,4
MAPK3,4
TTC7A,4
CDK4,4
ZCCHC13,4
ARID1A,4
APC,4
PRMT5,4
NF1,4
NF2,4
PRMT1,4
PORCN,4
BRAF,4
AKT1,4
BRCA1,4
WRN,4
AKT2,4
BRD4,4
TTC7B,4
YBX3,4
YAP1,4
PARP1,4
PARP2,4
WFDC11,4
TP53,4
WEE1,4
ATM,4
ATR,4
BCL2,4
PIK3CA,4
PHLDA2,4
ASF1A,4
CNOT7,4
BCL2L1,4
CHEK1,4
CNOT8,4
ASF1B,4
CDK6,4
ARID1B,4
RPL18A,2
RPL13A,2
RPL18,2
RPL11,2
RPL12,2
POLR2D,2
RPL14,2
PSMA1,2
RPL19,2
RPL23A,2
RPL7,2
RPL6,2
RPL4,2
RPL38,2
RPL37A,2
RPL37,2
PHF5A,2
RPL36,2
RPL35A,2
RPL35,2
RPL34,2
RPL32,2
PIWIL3,2
RPL31,2
RPL30,2
RPL3,2
RPL27,2
RPL26,2
RPE65,2
RPL24,2
POLR1B,2
RPL10A,2
RBPJL,2
RPA2,2
PSMC4,2
PREB,2
PRPF18,2
RPLP0,2
PRPF19,2
PRPF31,2
PRPF38A,2
PSMD13,2
PSMD12,2
PSMD1,2
PSMC3,2
PRB1,2
PSMC2,2
PRSS55,2
PSMC1,2
PSMB6,2
PSMB5,2
PSMB3,2
PSMB2,2
PSMA4,2
PSMA3,2
PRB4,2
PSMD4,2
RNF139,2
POP5,2
RNASE12,2
RHOXF2,2
RFX6,2
PSMA2,2
RBMX,2
RBM25,2
RBM22,2
RBM17,2
POLR2I,2
RAN,2
PSMD7,2
RAD21,2
POTED,2
POU3F4,2
POU5F1B,2
PRAMEF1,2
PRAMEF2,2
PRAMEF7,2
PTP4A3,2
PTK2,2
RPL7A,2
RUVBL2,2
RPLP2,2
TFAP2D,2
TRAPPC9,2
TPTE,2
TOMM40,2
TNFRSF11B,2
TMPRSS11F,2
TMEM71,2
TMEM65,2
TMEM225,2
TIMM10,2
TGIF2LY,2
TG,2
TFIP11,2
TCP10L2,2
STATH,2
TBCE,2
TBC1D31,2
TATDN1,2
TAS2R50,2
TAS2R46,2
TAS2R43,2
TAS2R42,2
TAS2R39,2
TAF2,2
TAAR1,2
SUPV3L1,2
SUPT6H,2
TRIB1,2
TRIM43,2
TRIM48,2
TRIM49,2
ZNF207,2
ZIM3,2
ZHX2,2
ZHX1,2
ZFAT,2
ZC3H18,2
XKR7,2
XAB2,2
WFDC9,2
WDYHV1,2
WDR12,2
WASHC5,2
UTP23,2
USP39,2
UBB,2
UBA1,2
U2AF2,2
TUBGCP2,2
TUBB,2
TUBA1B,2
TSPY1,2
TSHB,2
TSEN2,2
TRPS1,2
TRMT12,2
SUPT5H,2
ST3GAL1,2
RPN2,2
RPS27A,2
PHB2,2
RUVBL1,2
RTF1,2
RRM1,2
RPSA,2
RPS9,2
RPS8,2
RPS7,2
RPS6,2
RPS5,2
RPS4X,2
RPS3,2
RPS25,2
SSX3,2
RPS24,2
RPS20,2
RPS19,2
RPS18,2
RPS15A,2
RPS15,2
RPS14,2
RPS13,2
RPS12,2
RPS11,2
RPP40,2
RPP38,2
S100A7A,2
S100G,2
SAGE1,2
SAMD12,2
SRSF1,2
SRRT,2
SRFBP1,2
SRBD1,2
SQLE,2
SPINK14,2
SNW1,2
SNTB1,2
SNRPD2,2
SNRPD1,2
SNRPB,2
SNRNP27,2
SNRNP200,2
SMC3,2
SLC45A4,2
SLC39A12,2
SLC30A8,2
SLA,2
SIRPB1,2
SF3B5,2
SF3B4,2
SF3B2,2
SF3A2,2
SF3A1,2
SDAD1,2
PHF20L1,2
NAPG,2
PHB,2
DDX54,2
DYNC1I2,2
DYNC1H1,2
DSCC1,2
DRGX,2
DMRTC2,2
DMRTB1,2
DKC1,2
DERL1,2
DEPTOR,2
DENND3,2
DEFB129,2
DEFB104A,2
DDX46,2
EFR3A,2
DDX4,2
DDX21,2
DDX18,2
DDB1,2
DCAF8L1,2
DAZL,2
CYLC2,2
CSTL1,2
CST4,2
CSN3,2
CSN2,2
CSHL1,2
EEF2,2
EGR4,2
PFN1,2
EIF6,2
FER1L6,2
FDPS,2
FBXO32,2
FAM91A1,2
FAM83A,2
FAM47B,2
FAM135B,2
F9,2
EXT1,2
ETF1,2
ERH,2
ENPP2,2
EIF5B,2
EIF2B2,2
EIF4E,2
EIF4A3,2
EIF3I,2
EIF3H,2
EIF3G,2
EIF3F,2
EIF3D,2
EIF3C,2
EIF3B,2
EIF2S2,2
EIF2B4,2
EIF2B3,2
CSH1,2
CSE1L,2
CPSF3,2
ARCN1,2
C12orf40,2
BSND,2
BRIX1,2
BPIFC,2
BOP1,2
BMP10,2
BIRC8,2
ATP6V1G3,2
ATP6V0D1,2
ATAD2,2
ASB17,2
