gene_a,gene_b,guide_a,guide_b,m_ab,m_a0,m_0b,n_double,n_single_a,n_single_b,mu
BCL2L1,MCL1,1171994543,914758331,-0.8128563753123115,0.19107404301139466,0.9967536212725142,1,2,2,0.9494587503608551
BCL2L1,MCL1,1171994543,914758312,-1.255092281193036,0.19107404301139466,0.7626212861121809,1,2,2,0.9494587503608551
BCL2L1,MCL1,1171994543,914758358,-1.234286190064974,0.19107404301139466,0.5990398680554515,1,2,2,0.9494587503608551
BCL2L1,MCL1,1171994543,914758316,-0.3017894443723714,0.19107404301139466,0.7823807709051706,1,2,2,0.9494587503608551
BCL2L1,MCL1,1171994567,914758331,-1.175295037484814,0.04575679374084588,0.9967536212725142,1,2,2,0.9494587503608551
BCL2L1,MCL1,1171994567,914758312,-1.278893151520124,0.04575679374084588,0.7626212861121809,1,2,2,0.9494587503608551
BCL2L1,MCL1,1171994567,914758358,-1.064231007055517,0.04575679374084588,0.5990398680554515,1,2,2,0.9494587503608551
BCL2L1,MCL1,1171994567,914758316,-0.5729440729560568,0.04575679374084588,0.7823807709051706,1,2,2,0.9494587503608551
BCL2L1,MCL1,1171994553,914758331,-0.8992515113285869,-0.3571239722717434,0.9967536212725142,1,2,2,0.9494587503608551
BCL2L1,MCL1,1171994553,914758312,-1.481344928317342,-0.3571239722717434,0.7626212861121809,1,2,2,0.9494587503608551
BCL2L1,MCL1,1171994553,914758358,-1.831806712825998,-0.3571239722717434,0.5990398680554515,1,2,2,0.9494587503608551
BCL2L1,MCL1,1171994553,914758316,-1.174104785933755,-0.3571239722717434,0.7823807709051706,1,2,2,0.9494587503608551
BCL2L1,MCL1,1171994566,914758331,-0.8328492694184408,0.1916972123836776,0.9967536212725142,1,2,2,0.9494587503608551
BCL2L1,MCL1,1171994566,914758312,-1.081295411442637,0.1916972123836776,0.7626212861121809,1,2,2,0.9494587503608551
BCL2L1,MCL1,1171994566,914758358,-1.256586328379148,0.1916972123836776,0.5990398680554515,1,2,2,0.9494587503608551
BCL2L1,MCL1,1171994566,914758316,-0.4297622359724565,0.1916972123836776,0.7823807709051706,1,2,2,0.9494587503608551
BRAF,RBM14,1033379492,1084053576,-2.35141409637225,-0.4092464768578173,-1.9489434367193612,1,2,6,0.9494587503608551
BRAF,RBM14,1033379492,1084053605,-1.946010377568202,-0.4092464768578173,-1.5359606182598502,1,2,5,0.9494587503608551
BRAF,RBM14,1033379562,1084053576,-0.9613099121933182,-0.28152570775439645,-1.9489434367193612,1,2,6,0.9494587503608551
BRAF,RBM14,1033379562,1084053605,-1.448615979726996,-0.28152570775439645,-1.5359606182598502,1,2,5,0.9494587503608551
BRAF,RBM14,1033379490,1084053576,-2.093483040018965,-0.1764766090431561,-1.9489434367193612,1,2,6,0.9494587503608551
BRAF,RBM14,1033379490,1084053605,-2.260492720251084,-0.1764766090431561,-1.5359606182598502,1,2,5,0.9494587503608551
BRAF,RBM14,1033390638,1084053576,-2.467824935191763,-1.0373317379027966,-1.9489434367193612,1,2,6,0.9494587503608551
BRAF,RBM14,1033390638,1084053605,-2.86329152932863,-1.0373317379027966,-1.5359606182598502,1,2,5,0.9494587503608551
EGFR,BRAF,1024980888,1033379492,-1.213155372134099,0.11426626065557273,-0.4092464768578173,1,2,2,0.9494587503608551
EGFR,BRAF,1024980888,1033379562,-1.707268755222701,0.11426626065557273,-0.28152570775439645,1,2,2,0.9494587503608551
EGFR,BRAF,1024980888,1033379490,-1.211132440816471,0.11426626065557273,-0.1764766090431561,1,2,2,0.9494587503608551
EGFR,BRAF,1024980888,1033390638,-2.563501818842863,0.11426626065557273,-1.0373317379027966,1,2,2,0.9494587503608551
EGFR,BRAF,1024965420,1033379492,-1.30824133013425,0.054711288886727785,-0.4092464768578173,1,2,2,0.9494587503608551
EGFR,BRAF,1024965420,1033379562,-2.377654177723888,0.054711288886727785,-0.28152570775439645,1,2,2,0.9494587503608551
EGFR,BRAF,1024965420,1033379490,-1.636860224685724,0.054711288886727785,-0.1764766090431561,1,2,2,0.9494587503608551
EGFR,BRAF,1024965420,1033390638,-2.509784920533573,0.054711288886727785,-1.0373317379027966,1,2,2,0.9494587503608551
EGFR,BRAF,1024979188,1033379492,-1.479957909156297,0.15701961413885807,-0.4092464768578173,1,2,2,0.9494587503608551
EGFR,BRAF,1024979188,1033379562,-1.593154399038247,0.15701961413885807,-0.28152570775439645,1,2,2,0.9494587503608551
EGFR,BRAF,1024979188,1033379490,-0.4995865556554364,0.15701961413885807,-0.1764766090431561,1,2,2,0.9494587503608551
EGFR,BRAF,1024979188,1033390638,-2.32717806425829,0.15701961413885807,-1.0373317379027966,1,2,2,0.9494587503608551
EGFR,BRAF,1024979662,1033379492,-0.7342013763743501,-0.05203753167511424,-0.4092464768578173,1,2,2,0.9494587503608551
EGFR,BRAF,1024979662,1033379562,-0.2009210998429936,-0.05203753167511424,-0.28152570775439645,1,2,2,0.9494587503608551
EGFR,BRAF,1024979662,1033379490,-0.5814722670418918,-0.05203753167511424,-0.1764766090431561,1,2,2,0.9494587503608551
EGFR,BRAF,1024979662,1033390638,-1.57508898686514,-0.05203753167511424,-1.0373317379027966,1,2,2,0.9494587503608551
BRAF,ERBB2,1033379492,1147332747,-1.506159198151601,-0.4092464768578173,0.4224830642074471,1,2,2,0.9494587503608551
