gene_a,gene_b,lower,upper,sign,n_guide_pairs,rho
AARD,ZNF572,0.06545397136413425,0.22311269916354723,POSITIVE,2,0.05
ADCY8,AGO2,0.24118753089696376,0.47319041369462345,POSITIVE,2,0.05
ANXA13,TRMT12,0.41468812620399464,0.6204669879206208,POSITIVE,2,0.05
ASAP1,ZHX2,0.030256283871654632,0.33161644352600006,POSITIVE,2,0.05
ATAD2,ZHX1,0.526468377891937,1.4061562488399253,POSITIVE,2,0.05
BCL2L1,MCL1,-0.6107167436844808,-0.9821387593445933,NEGATIVE,16,0.05
BRAF,EGFR,0.45859390193318805,-0.5832114615092718,POSITIVE,16,0.05
BRAF,ERBB2,0.1294221245899494,-0.417944201931633,POSITIVE,16,0.05
BRAF,RBM14,1.523728675610839,1.0703909685846957,POSITIVE,8,0.05
C8orf76,ZFAT,-0.18489282313603098,-0.043944326729017144,NEGATIVE,2,0.05
CHRAC1,WDYHV1,0.2734681932988483,0.6289381688671735,POSITIVE,2,0.05
COL14A1,WASHC5,-0.1448115272256706,0.5401765605957005,UNRESOLVED,2,0.05
COL22A1,UTP23,0.11668546294833071,1.0168568982879072,POSITIVE,2,0.05
COLEC10,TRIB1,0.39755851919358515,0.7525470236057925,POSITIVE,2,0.05
DENND3,TATDN1,0.44597542022169295,0.8711411634429678,POSITIVE,2,0.05
DEPTOR,TRAPPC9,0.2806040988299621,0.5187862657638309,POSITIVE,2,0.05
DERL1,TNFRSF11B,0.13221370238726265,0.5339753252720749,POSITIVE,2,0.05
DSCC1,TMEM71,-0.01712420076608978,0.2930636361405205,UNRESOLVED,2,0.05
EFR3A,TMEM65,0.19125859633501527,0.429650515927287,POSITIVE,2,0.05
EIF3H,TG,0.17814813189187995,0.5044242645236774,POSITIVE,2,0.05
ENPP2,TAF2,0.029687073977285733,0.3112782893458077,POSITIVE,2,0.05
EXT1,TBC1D31,-0.247675578005071,0.16801644717164826,UNRESOLVED,2,0.05
FAM135B,PTP4A3,-0.3098242065364519,0.055890997738730686,UNRESOLVED,2,0.05
FAM83A,SQLE,0.05520872160590955,0.21336697509833907,POSITIVE,2,0.05
FAM91A1,NDUFB9,-0.20592765964643434,0.2538375824645358,UNRESOLVED,2,0.05
FBXO32,SNTB1,-0.27553828218155824,0.10500896410087446,UNRESOLVED,2,0.05
FER1L6,SLC45A4,-0.059556651199274446,0.19119440356095269,UNRESOLVED,2,0.05
GPR20,SLC30A8,0.730734357092371,0.8922220479852297,POSITIVE,2,0.05
