gene_a,gene_b,n_guide_pairs,n_positive,n_negative,n_unresolved,gene_sign,rho
AARD,ZNF572,2,1,0,1,UNRESOLVED,0.05
ADCY8,AGO2,2,2,0,0,POSITIVE,0.05
ANXA13,TRMT12,2,2,0,0,POSITIVE,0.05
ASAP1,ZHX2,2,1,0,1,UNRESOLVED,0.05
ATAD2,ZHX1,2,1,0,1,UNRESOLVED,0.05
BCL2L1,MCL1,16,0,16,0,NEGATIVE,0.05
BRAF,EGFR,16,2,2,12,UNRESOLVED,0.05
BRAF,ERBB2,16,1,4,11,UNRESOLVED,0.05
BRAF,RBM14,8,6,0,2,UNRESOLVED,0.05
C8orf76,ZFAT,2,0,1,1,UNRESOLVED,0.05
CHRAC1,WDYHV1,2,1,0,1,UNRESOLVED,0.05
COL14A1,WASHC5,2,0,0,2,UNRESOLVED,0.05
COL22A1,UTP23,2,1,0,1,UNRESOLVED,0.05
COLEC10,TRIB1,2,2,0,0,POSITIVE,0.05
DENND3,TATDN1,2,2,0,0,POSITIVE,0.05
DEPTOR,TRAPPC9,2,2,0,0,POSITIVE,0.05
DERL1,TNFRSF11B,2,1,0,1,UNRESOLVED,0.05
DSCC1,TMEM71,2,0,0,2,UNRESOLVED,0.05
EFR3A,TMEM65,2,2,0,0,POSITIVE,0.05
EIF3H,TG,2,1,0,1,UNRESOLVED,0.05
ENPP2,TAF2,2,1,0,1,UNRESOLVED,0.05
EXT1,TBC1D31,2,0,0,2,UNRESOLVED,0.05
FAM135B,PTP4A3,2,0,0,2,UNRESOLVED,0.05
FAM83A,SQLE,2,2,0,0,POSITIVE,0.05
FAM91A1,NDUFB9,2,0,0,2,UNRESOLVED,0.05
FBXO32,SNTB1,2,0,0,2,UNRESOLVED,0.05
FER1L6,SLC45A4,2,0,0,2,UNRESOLVED,0.05
GPR20,SLC30A8,2,2,0,0,POSITIVE,0.05
GSDMC,SLA,2,0,0,2,UNRESOLVED,0.05
HAS2,SAMD12,2,0,2,0,NEGATIVE,0.05
HHLA1,RNF139,2,1,0,1,UNRESOLVED,0.05
KCNK9,RAD21,2,0,0,2,UNRESOLVED,0.05
KCNQ3,PTK2,2,0,0,2,UNRESOLVED,0.05
KHDRBS3,ST3GAL1,2,1,0,1,UNRESOLVED,0.05
KLHL38,POU5F1B,2,1,0,1,UNRESOLVED,0.05
LRRC6,PHF20L1,2,0,0,2,UNRESOLVED,0.05
MAL2,OC90,2,2,0,0,POSITIVE,0.05
MAP2K1,MAP2K2,16,4,6,6,UNRESOLVED,0.05
MED30,NSMCE2,2,2,0,0,POSITIVE,0.05
MRPL13,NDRG1,2,0,2,0,NEGATIVE,0.05
MTBP,MYC,2,2,0,0,POSITIVE,0.05
MTSS1,MTSS1,1,1,0,0,POSITIVE,0.05
PRMT1,PRMT5,16,13,0,3,UNRESOLVED,0.05
SIRPB1,TRPS1,2,0,0,2,UNRESOLVED,0.05
AARD,ZNF572,2,1,0,1,UNRESOLVED,0.1
ADCY8,AGO2,2,2,0,0,POSITIVE,0.1
ANXA13,TRMT12,2,2,0,0,POSITIVE,0.1
ASAP1,ZHX2,2,0,0,2,UNRESOLVED,0.1
ATAD2,ZHX1,2,1,0,1,UNRESOLVED,0.1
BCL2L1,MCL1,16,0,15,1,UNRESOLVED,0.1
BRAF,EGFR,16,1,1,14,UNRESOLVED,0.1
BRAF,ERBB2,16,1,1,14,UNRESOLVED,0.1
BRAF,RBM14,8,6,0,2,UNRESOLVED,0.1
C8orf76,ZFAT,2,0,1,1,UNRESOLVED,0.1
CHRAC1,WDYHV1,2,1,0,1,UNRESOLVED,0.1
COL14A1,WASHC5,2,0,0,2,UNRESOLVED,0.1
COL22A1,UTP23,2,0,0,2,UNRESOLVED,0.1
COLEC10,TRIB1,2,2,0,0,POSITIVE,0.1
DENND3,TATDN1,2,1,0,1,UNRESOLVED,0.1
DEPTOR,TRAPPC9,2,2,0,0,POSITIVE,0.1
DERL1,TNFRSF11B,2,1,0,1,UNRESOLVED,0.1
DSCC1,TMEM71,2,0,0,2,UNRESOLVED,0.1
EFR3A,TMEM65,2,2,0,0,POSITIVE,0.1
EIF3H,TG,2,1,0,1,UNRESOLVED,0.1
ENPP2,TAF2,2,0,0,2,UNRESOLVED,0.1
EXT1,TBC1D31,2,0,0,2,UNRESOLVED,0.1
FAM135B,PTP4A3,2,0,0,2,UNRESOLVED,0.1
FAM83A,SQLE,2,0,0,2,UNRESOLVED,0.1
FAM91A1,NDUFB9,2,0,0,2,UNRESOLVED,0.1
FBXO32,SNTB1,2,0,0,2,UNRESOLVED,0.1
FER1L6,SLC45A4,2,0,0,2,UNRESOLVED,0.1
GPR20,SLC30A8,2,2,0,0,POSITIVE,0.1
GSDMC,SLA,2,0,0,2,UNRESOLVED,0.1
HAS2,SAMD12,2,0,0,2,UNRESOLVED,0.1
HHLA1,RNF139,2,0,0,2,UNRESOLVED,0.1
KCNK9,RAD21,2,0,0,2,UNRESOLVED,0.1
KCNQ3,PTK2,2,0,0,2,UNRESOLVED,0.1
