gene_a,gene_b,boot_ci_lower,boot_ci_upper,boot_robust_frac
AARD,ZNF572,-0.021543464788879724,0.2975626514081369,0.66
ADCY8,AGO2,0.12600227181869708,0.6116359837950123,1.0
ANXA13,TRMT12,0.31164971601203967,0.7172460003563097,1.0
ASAP1,ZHX2,-0.17045071974884338,0.4746538122300275,0.0
ATAD2,ZHX1,-0.012781692774814245,1.8430558219546873,0.68
BCL2L1,MCL1,-0.7185353739070132,-0.9133312372704956,1.0
BRAF,EGFR,0.21919983875611418,-0.28792686666543404,0.94
BRAF,ERBB2,-0.12054962181280375,-0.23589151701873326,0.9
BRAF,RBM14,1.0075680335672152,1.4152020490695063,1.0
C8orf76,ZFAT,-0.25764353253725114,0.029421920399860357,0.74
CHRAC1,WDYHV1,0.1124041096591784,0.8236820582860499,0.8
COL14A1,WASHC5,-0.46582256454310844,0.9284778525103596,0.0
COL22A1,UTP23,-0.45327151965952667,1.309512929374721,0.0
COLEC10,TRIB1,0.1767737036894776,0.9024584934073235,1.0
DENND3,TATDN1,0.24838077535909875,1.0826508801413524,0.8
DEPTOR,TRAPPC9,0.1584431371187503,0.6336016036196902,1.0
DERL1,TNFRSF11B,-0.05459517474714959,0.7715866283153011,0.8
DSCC1,TMEM71,-0.18707914017511904,0.4462408133649081,0.0
EFR3A,TMEM65,0.06594855890371046,0.5636505014559298,1.0
EIF3H,TG,0.03476120803819549,0.6787714547087355,0.86
ENPP2,TAF2,-0.1140586442020343,0.45036683973778635,0.0
EXT1,TBC1D31,-0.46580561482089355,0.3869407409186944,0.0
FAM135B,PTP4A3,-0.4923076980749317,0.24914021062322764,0.0
FAM83A,SQLE,-0.02359325624634761,0.2936233588637518,0.0
FAM91A1,NDUFB9,-0.4569897401664286,0.48252040171355065,0.0
FBXO32,SNTB1,-0.43920835369174477,0.28314508023097373,0.0
FER1L6,SLC45A4,-0.18037471799712457,0.30541292257192465,0.0
GPR20,SLC30A8,0.6504560850130965,0.9743482730099867,1.0
GSDMC,SLA,-0.7292384970047369,0.3296670244003125,0.0
HAS2,SAMD12,-0.1877950020217232,0.031584825742029705,0.0
HHLA1,RNF139,-0.28194295860804003,0.9613844123366901,0.0
KCNK9,RAD21,-0.4111555165168372,0.2764052808863522,0.0
KCNQ3,PTK2,-0.31122288259572833,0.6972501007343126,0.0
KHDRBS3,ST3GAL1,-0.011930930009420644,0.6551481695925494,0.86
KLHL38,POU5F1B,-0.07527451154483897,0.9774383834051719,0.86
LRRC6,PHF20L1,-0.5114828976331942,0.4313158920380022,0.0
MAL2,OC90,-0.0257330098242135,0.327893290324286,0.0
MAP2K1,MAP2K2,0.4033326937056625,-0.6448135871051089,1.0
MED30,NSMCE2,0.21128191451848388,1.5732245648829288,0.68
MRPL13,NDRG1,-0.5899369227043743,-0.3402057537684389,1.0
MTBP,MYC,0.6749517174825914,1.6085249797007857,1.0
MTSS1,MTSS1,0.442606797466078,0.8818792227363335,1.0
PRMT1,PRMT5,1.3116501410913648,2.0596679999547955,1.0
SIRPB1,TRPS1,-0.13449393816455557,0.23464357486056003,0.0
