gene_a,gene_b,signs,n_guide_pairs,rho
AARD,ZNF572,"['POSITIVE', 'UNRESOLVED']",2,0.05
ASAP1,ZHX2,"['POSITIVE', 'UNRESOLVED']",2,0.05
ATAD2,ZHX1,"['POSITIVE', 'UNRESOLVED']",2,0.05
BRAF,EGFR,"['NEGATIVE', 'POSITIVE', 'UNRESOLVED']",16,0.05
BRAF,ERBB2,"['NEGATIVE', 'POSITIVE', 'UNRESOLVED']",16,0.05
BRAF,RBM14,"['POSITIVE', 'UNRESOLVED']",8,0.05
C8orf76,ZFAT,"['NEGATIVE', 'UNRESOLVED']",2,0.05
CHRAC1,WDYHV1,"['POSITIVE', 'UNRESOLVED']",2,0.05
COL22A1,UTP23,"['POSITIVE', 'UNRESOLVED']",2,0.05
DERL1,TNFRSF11B,"['POSITIVE', 'UNRESOLVED']",2,0.05
EIF3H,TG,"['POSITIVE', 'UNRESOLVED']",2,0.05
ENPP2,TAF2,"['POSITIVE', 'UNRESOLVED']",2,0.05
HHLA1,RNF139,"['POSITIVE', 'UNRESOLVED']",2,0.05
KHDRBS3,ST3GAL1,"['POSITIVE', 'UNRESOLVED']",2,0.05
KLHL38,POU5F1B,"['POSITIVE', 'UNRESOLVED']",2,0.05
MAP2K1,MAP2K2,"['NEGATIVE', 'POSITIVE', 'UNRESOLVED']",16,0.05
PRMT1,PRMT5,"['POSITIVE', 'UNRESOLVED']",16,0.05
AARD,ZNF572,"['POSITIVE', 'UNRESOLVED']",2,0.1
ATAD2,ZHX1,"['POSITIVE', 'UNRESOLVED']",2,0.1
BCL2L1,MCL1,"['NEGATIVE', 'UNRESOLVED']",16,0.1
BRAF,EGFR,"['NEGATIVE', 'POSITIVE', 'UNRESOLVED']",16,0.1
BRAF,ERBB2,"['NEGATIVE', 'POSITIVE', 'UNRESOLVED']",16,0.1
BRAF,RBM14,"['POSITIVE', 'UNRESOLVED']",8,0.1
C8orf76,ZFAT,"['NEGATIVE', 'UNRESOLVED']",2,0.1
CHRAC1,WDYHV1,"['POSITIVE', 'UNRESOLVED']",2,0.1
DENND3,TATDN1,"['POSITIVE', 'UNRESOLVED']",2,0.1
DERL1,TNFRSF11B,"['POSITIVE', 'UNRESOLVED']",2,0.1
EIF3H,TG,"['POSITIVE', 'UNRESOLVED']",2,0.1
KHDRBS3,ST3GAL1,"['POSITIVE', 'UNRESOLVED']",2,0.1
KLHL38,POU5F1B,"['POSITIVE', 'UNRESOLVED']",2,0.1
MAP2K1,MAP2K2,"['NEGATIVE', 'POSITIVE', 'UNRESOLVED']",16,0.1
MED30,NSMCE2,"['POSITIVE', 'UNRESOLVED']",2,0.1
PRMT1,PRMT5,"['POSITIVE', 'UNRESOLVED']",16,0.1
ATAD2,ZHX1,"['POSITIVE', 'UNRESOLVED']",2,0.2
BCL2L1,MCL1,"['NEGATIVE', 'UNRESOLVED']",16,0.2
BRAF,EGFR,"['NEGATIVE', 'POSITIVE', 'UNRESOLVED']",16,0.2
BRAF,ERBB2,"['NEGATIVE', 'UNRESOLVED']",16,0.2
BRAF,RBM14,"['POSITIVE', 'UNRESOLVED']",8,0.2
CHRAC1,WDYHV1,"['POSITIVE', 'UNRESOLVED']",2,0.2
COLEC10,TRIB1,"['POSITIVE', 'UNRESOLVED']",2,0.2
DENND3,TATDN1,"['POSITIVE', 'UNRESOLVED']",2,0.2
MAP2K1,MAP2K2,"['NEGATIVE', 'POSITIVE', 'UNRESOLVED']",16,0.2
PRMT1,PRMT5,"['POSITIVE', 'UNRESOLVED']",16,0.2
BCL2L1,MCL1,"['NEGATIVE', 'UNRESOLVED']",16,0.3
BRAF,EGFR,"['NEGATIVE', 'UNRESOLVED']",16,0.3
BRAF,RBM14,"['POSITIVE', 'UNRESOLVED']",8,0.3
MAP2K1,MAP2K2,"['NEGATIVE', 'POSITIVE', 'UNRESOLVED']",16,0.3
PRMT1,PRMT5,"['POSITIVE', 'UNRESOLVED']",16,0.3
