gene_a,gene_b,rho_star_mean,rho_star_min,rho_star_max,sign_10,n_guide_pairs
MRPL13,NDRG1,0.8464409014075217,0.46540104570925195,1.2274807571057915,NEGATIVE,2
GPR20,SLC30A8,0.6155783621293154,0.5540457282210139,0.6771109960376169,POSITIVE,2
ANXA13,TRMT12,0.34592825394234084,0.34255310847825743,0.3493033994064242,POSITIVE,2
MTSS1,MTSS1,0.30151813407990324,0.30151813407990324,0.30151813407990324,POSITIVE,1
ADCY8,AGO2,0.2899520005532478,0.2465781267744297,0.33332587433206595,POSITIVE,2
COLEC10,TRIB1,0.267079318871446,0.22983868603476693,0.30431995170812504,POSITIVE,2
MTBP,MYC,0.26355389352121333,0.2487970102305814,0.27831077681184524,POSITIVE,2
DEPTOR,TRAPPC9,0.22069851806715687,0.2013926244949456,0.24000441163936814,POSITIVE,2
EFR3A,TMEM65,0.12754057831571808,0.1109419873986172,0.14413916923281897,POSITIVE,2
LRRC6,PHF20L1,1.0618126961226264,0.3825482525335721,1.7410771397116809,UNRESOLVED,2
GSDMC,SLA,0.8941846251880244,0.17717409505161988,1.611195155324429,UNRESOLVED,2
MAP2K1,MAP2K2,0.8833623026684937,0.027933404209238705,2.12947804180116,UNRESOLVED,16
BCL2L1,MCL1,0.8443017001102914,0.3520244657866744,1.3337023483341564,UNRESOLVED,16
ATAD2,ZHX1,0.3980869284345132,0.19304147545667896,0.6031323814123475,UNRESOLVED,2
COL14A1,WASHC5,0.3771816273362125,0.3308961963246419,0.4234670583477832,UNRESOLVED,2
FER1L6,SLC45A4,0.36569576664326636,0.21746865349279512,0.5139228797937376,UNRESOLVED,2
FBXO32,SNTB1,0.3452060848890507,0.29491242312292854,0.39549974665517285,UNRESOLVED,2
KLHL38,POU5F1B,0.32639677157730546,0.02057887516049473,0.6322146679941162,UNRESOLVED,2
PRMT1,PRMT5,0.32556406590127707,0.17151252727113722,0.4622474429069543,UNRESOLVED,16
DENND3,TATDN1,0.2984231534413644,0.23679418466798396,0.36005212221474475,UNRESOLVED,2
FAM135B,PTP4A3,0.2778606783498892,0.12298823769518298,0.4327331190045954,UNRESOLVED,2
BRAF,RBM14,0.2707954050431847,0.1111503265790594,0.5372754293237839,UNRESOLVED,8
CHRAC1,WDYHV1,0.24420516550383375,0.12197114623021939,0.36643918477744813,UNRESOLVED,2
SIRPB1,TRPS1,0.24409874875322446,0.20770237371502218,0.28049512379142677,UNRESOLVED,2
BRAF,EGFR,0.2319120116561602,0.0018848373536385348,0.5651611087099973,UNRESOLVED,16
EXT1,TBC1D31,0.21121276281804213,0.15991205165340225,0.262513473982682,UNRESOLVED,2
HHLA1,RNF139,0.20656723710121666,0.08144710859801754,0.3316873656044158,UNRESOLVED,2
COL22A1,UTP23,0.1990604060070397,0.017895711913727064,0.3802251001003523,UNRESOLVED,2
MED30,NSMCE2,0.19341697031508737,0.15862560511052662,0.22820833551964814,UNRESOLVED,2
KHDRBS3,ST3GAL1,0.1838818618385395,0.06768968001567693,0.30007404366140206,UNRESOLVED,2
BRAF,ERBB2,0.18280173668599978,0.005553282646007072,0.5063158062324198,UNRESOLVED,16
C8orf76,ZFAT,0.17403188958349167,0.031505157445851646,0.3165586217211317,UNRESOLVED,2
EIF3H,TG,0.167272453620036,0.12710040308207546,0.20744450415799653,UNRESOLVED,2
FAM91A1,NDUFB9,0.16249553954077667,0.16193774397652402,0.1630533351050293,UNRESOLVED,2
DERL1,TNFRSF11B,0.16046425296106076,0.08208432893777383,0.23884417698434768,UNRESOLVED,2
AARD,ZNF572,0.159944981661155,0.13539991829970985,0.18449004502260014,UNRESOLVED,2
ASAP1,ZHX2,0.14202451860406573,0.0006002349564172,0.28344880225171426,UNRESOLVED,2
KCNQ3,PTK2,0.1093999471495292,0.033037483117275286,0.18576241118178313,UNRESOLVED,2
FAM83A,SQLE,0.10463067084566155,0.10346734776770188,0.10579399392362121,UNRESOLVED,2
MAL2,OC90,0.10198033212116304,0.09444025994559019,0.1095204042967359,UNRESOLVED,2
DSCC1,TMEM71,0.08225867043138563,0.018012243891134223,0.14650509697163702,UNRESOLVED,2
HAS2,SAMD12,0.07067513197106481,0.05785573478042991,0.08349452916169972,UNRESOLVED,2
ENPP2,TAF2,0.06798888509069898,0.06121310193048057,0.07476466825091739,UNRESOLVED,2
KCNK9,RAD21,0.025295497376474168,0.0041817100941608345,0.0464092846587875,UNRESOLVED,2
